Date,Close
9/12/2019,17.129999
9/13/2019,17.23
9/16/2019,17.1
9/17/2019,18.02
9/18/2019,17.639999
9/19/2019,18.299999
9/20/2019,18.43
9/23/2019,18.6
9/24/2019,18.809999
9/25/2019,18.18
9/26/2019,18.1
9/27/2019,17.73
9/30/2019,17.33
10/1/2019,17.219999
10/2/2019,17.370001
10/3/2019,17.26
10/4/2019,17.75
10/7/2019,17.620001
10/8/2019,18.059999
10/9/2019,17.870001
10/10/2019,17.91
10/11/2019,17
10/14/2019,17.1
10/15/2019,16.66
10/16/2019,16.940001
10/17/2019,17.09
10/18/2019,17.190001
10/21/2019,16.83
10/22/2019,16.6
10/23/2019,16.57
10/24/2019,17.17
10/25/2019,17.200001
10/28/2019,16.719999
10/29/2019,16.77
10/30/2019,17.049999
10/31/2019,17.360001
11/1/2019,17.01
11/4/2019,16.639999
11/5/2019,16.540001
11/6/2019,16.9
11/7/2019,16.360001
11/8/2019,16.370001
11/11/2019,16.379999
11/12/2019,16.440001
11/13/2019,16.66
11/14/2019,16.66
11/15/2019,16.57
11/18/2019,16.889999
11/19/2019,17.049999
11/20/2019,16.99
11/21/2019,16.639999
11/22/2019,16.49
11/25/2019,16.43
11/26/2019,16.860001
11/27/2019,16.700001
11/29/2019,16.799999
12/2/2019,16.889999
12/3/2019,17.280001
12/4/2019,17.030001
12/5/2019,17.16
12/6/2019,16.889999
12/9/2019,16.85
12/10/2019,17.139999
12/11/2019,17.620001
12/12/2019,17.559999
12/13/2019,17.58
12/16/2019,17.42
12/17/2019,17.389999
12/18/2019,17.93
12/19/2019,17.709999
12/20/2019,17.450001
12/23/2019,17.76
12/24/2019,18.309999
12/26/2019,18.360001
12/27/2019,18.370001
12/30/2019,18.610001
12/31/2019,18.59
1/2/2020,18.49
1/3/2020,18.57
1/6/2020,18.389999
1/7/2020,18.469999
1/8/2020,17.82
1/9/2020,17.6
1/10/2020,17.85
1/13/2020,17.450001
1/14/2020,17.559999
1/15/2020,17.9
1/16/2020,18.09
1/17/2020,17.950001
1/21/2020,18.35
1/22/2020,18.290001
1/23/2020,18.43
1/24/2020,18.709999
1/27/2020,18.620001
1/28/2020,18
1/29/2020,18.370001
1/30/2020,18.440001
1/31/2020,18.52
2/3/2020,18.280001
2/4/2020,18.02
2/5/2020,18.02
2/6/2020,18.35
2/7/2020,18.190001
2/10/2020,18.43
2/11/2020,18.440001
2/12/2020,18.41
2/13/2020,18.93
2/14/2020,19.719999
2/18/2020,20.58
2/19/2020,21
2/20/2020,20.77
2/21/2020,21.440001
2/24/2020,22.030001
2/25/2020,21.25
2/26/2020,21.09
2/27/2020,19.780001
2/28/2020,19.040001
3/2/2020,19.860001
3/3/2020,20.620001
3/4/2020,20.549999
3/5/2020,21.16
3/6/2020,21.23
3/9/2020,19.93
3/10/2020,19.870001
3/11/2020,18.790001
3/12/2020,16.879999
3/13/2020,15.67
3/16/2020,16.33
3/17/2020,17.709999
3/18/2020,15.88
3/19/2020,16.08
3/20/2020,15.88
3/23/2020,16.93
3/24/2020,19.5
3/25/2020,19.110001
3/26/2020,19.58
3/27/2020,19.24
3/30/2020,19.290001
3/31/2020,18.32
4/1/2020,18.870001
4/2/2020,19.85
4/3/2020,19.950001
4/6/2020,20.549999
4/7/2020,20.309999
4/8/2020,20.41
4/9/2020,22.51
4/13/2020,24.370001
4/14/2020,24.43
4/15/2020,24.469999
4/16/2020,25
4/17/2020,24.540001
4/20/2020,24.92
4/21/2020,24.82
4/22/2020,26.48
4/23/2020,26.74
4/24/2020,27.1
4/27/2020,26.93
4/28/2020,26.959999
4/29/2020,26.549999
4/30/2020,25.719999
5/1/2020,26.93
5/4/2020,27.379999
5/5/2020,28.190001
5/6/2020,26.559999
5/7/2020,27.26
5/8/2020,27.389999
5/11/2020,26.02
5/12/2020,26.040001
5/13/2020,26.120001
5/14/2020,27.139999
5/15/2020,28.040001
5/18/2020,27.200001
5/19/2020,28.1
5/20/2020,27.25
5/21/2020,26.26
5/22/2020,26.32
5/26/2020,24.73
5/27/2020,23.92
5/28/2020,23.950001
5/29/2020,24
6/1/2020,24.780001
6/2/2020,23.950001
6/3/2020,23.219999
6/4/2020,23.43
6/5/2020,23.290001
6/8/2020,23.559999
6/9/2020,24.33
6/10/2020,25.08
6/11/2020,24.309999
6/12/2020,24.07
6/15/2020,24.74
6/16/2020,24.379999
6/17/2020,24.25
6/18/2020,23.940001
6/19/2020,24.49
6/22/2020,25.450001
6/23/2020,25.68
6/24/2020,25.709999
6/25/2020,25.73
6/26/2020,25.870001
6/29/2020,26.129999
6/30/2020,26.940001
7/1/2020,26.809999
7/2/2020,26.27
7/6/2020,26.610001
7/7/2020,27.02
7/8/2020,27.719999
7/9/2020,27.59
7/10/2020,27.110001
